N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
148,농심,"280,000","4,000",-1.41%,"5,000","17,031","6,083",16.71,"30,392",12.56,3.72,
149,두산인프라코어,"7,800",180,-2.26%,"5,000","16,862","216,186",5.79,"2,217,695",10.06,11.59,
150,한국앤컴퍼니,"18,100","4,300",-19.20%,500,"16,837","93,020",9.33,"2,853,861",15.11,4.71,
151,KODEX 200TR,"13,330",285,-2.09%,0,"16,816","126,150",0.02,"103,415",N/A,N/A,
152,아이에스동서,"54,400","2,500",-4.39%,500,"16,806","30,893",5.20,"137,187",13.11,6.10,
153,녹십자홀딩스,"35,200","1,000",-2.76%,500,"16,554","47,028",5.72,"488,379",33.27,0.37,
154,메리츠금융지주,"11,950",300,-2.45%,500,"16,014","134,011",8.03,"207,404",3.44,15.26,
155,KODEX MSCI Korea TR,"13,270",300,-2.21%,0,"15,858","119,500",3.99,"339,940",N/A,N/A,
156,KODEX 레버리지,"25,510","1,110",-4.17%,0,"15,816","62,000",2.92,"49,732,476",N/A,N/A,
157,대웅제약,"136,500","7,000",-4.88%,"2,500","15,816","11,587",4.51,"139,057",-954.55,4.34,
158,TIGER MSCI Korea TR,"16,740",335,-1.96%,0,"15,049","89,900",0.00,"7,147",N/A,N/A,
159,씨에스윈드,"70,000","3,500",-4.76%,500,"14,760","21,086",9.18,"415,127",48.81,9.92,
160,LG생활건강우,"698,000","2,000",-0.29%,"5,000","14,656","2,100",84.66,"3,581",15.64,N/A,
161,KODEX 종합채권(AA-이상)액티브,"109,630",315,+0.29%,0,"14,647","13,360",0.00,"5,941",N/A,N/A,
162,솔루스첨단소재,"45,800","2,700",-5.57%,100,"14,010","30,590",6.17,"310,675",132.37,N/A,
163,롯데관광개발,"20,100",900,+4.69%,500,"13,924","69,276",4.97,"3,635,633",-29.52,-4.77,
164,부광약품,"21,050",550,-2.55%,500,"13,648","64,838",4.79,"991,822","10,525.00",-2.00,
165,롯데정밀화학,"52,700","2,100",-3.83%,"5,000","13,597","25,800",22.77,"130,058",7.95,11.73,
166,NHN,"69,200","1,300",-1.84%,500,"13,539","19,565",11.56,"88,629",46.10,0.78,
167,코오롱인더,"49,850","1,650",-3.20%,"5,000","13,449","26,979",15.72,"554,641",8.93,1.58,
168,SK네트웍스,"5,410",20,+0.37%,"2,500","13,427","248,188",11.85,"3,669,736",-23.42,-5.85,
169,지누스,"92,600","4,700",-4.83%,500,"13,341","14,407",22.79,"78,007",18.69,26.32,
170,신세계인터내셔날,"183,500","8,500",-4.43%,"5,000","13,102","7,140",3.75,"81,313",29.06,12.98,
171,DL,"84,000","7,500",-8.20%,"5,000","12,971","15,441",30.59,"627,341",4.45,11.74,
172,한국콜마,"56,600","1,400",-2.41%,500,"12,951","22,881",28.68,"385,826",40.72,6.39,
173,세방전지,"92,500","8,500",-8.42%,500,"12,950","14,000",24.69,"389,946",17.52,7.70,
